Speed_Limit,Vehicles_Involved,Is_Daylight_Numerical,Road_Surface_Numerical,Casualties_Count
50,3,1,1,2
110,3,0,1,3
70,4,1,1,2
70,3,1,1,3
50,5,0,1,3
50,3,1,1,2
30,5,1,1,2
90,3,1,1,3
70,5,1,1,3
70,3,1,1,2
30,3,1,1,2
110,2,0,1,3
90,5,1,1,3
50,5,1,0,3
50,5,1,1,2
50,1,1,1,1
50,3,1,1,2
70,5,0,1,4
50,1,0,1,1
50,2,1,1,2
70,5,1,1,2
50,5,1,0,3
50,1,1,1,1
50,3,0,0,2
50,2,1,1,2
70,5,1,0,3
50,3,1,1,2
70,2,1,1,1
70,4,1,1,3
30,4,1,1,2
70,2,1,1,2
50,1,1,0,2
30,2,1,1,1
90,2,1,1,3
110,1,1,0,3
90,1,1,1,2
50,3,1,1,1
30,3,1,0,1
70,1,0,1,2
50,4,1,0,2
50,4,1,1,2
50,2,1,1,2
30,5,1,1,2
90,2,0,1,4
50,2,0,1,1
70,5,0,1,3
50,1,1,1,1
70,4,1,1,3
70,2,1,0,2
50,5,1,0,3
110,3,1,1,4
70,2,0,1,3
90,4,0,1,4
90,1,1,1,1
70,2,1,1,2
90,2,1,1,3
30,5,1,1,3
50,3,1,1,3
30,3,0,0,2
50,1,1,1,1
50,4,1,1,2
50,1,1,1,2
90,2,0,1,3
50,2,1,1,1
50,3,1,1,2
70,4,0,0,3
50,5,1,1,2
90,4,0,1,4
30,2,1,1,1
110,5,1,1,3
70,4,1,0,2
50,4,1,1,3
30,5,0,1,3
90,2,0,1,2
70,4,0,1,3
70,5,0,0,3
70,2,1,0,2
30,5,0,1,3
50,5,1,1,2
50,4,1,1,2
90,2,1,1,2
70,4,1,0,3
50,1,1,0,2
30,1,1,1,2
50,2,0,1,1
50,5,1,1,3
70,4,1,1,3
70,4,1,1,3
90,2,1,0,3
50,2,1,1,2
50,1,1,0,0
70,3,1,1,2
70,2,1,1,2
70,3,1,1,3
70,2,1,1,2
50,5,0,1,3
70,5,1,1,3
50,1,1,0,1
30,1,0,0,1
50,3,1,1,1
30,2,1,1,1
70,4,1,1,2
50,1,0,0,2
70,4,1,1,3
90,4,1,0,3
50,2,1,1,1
50,3,1,1,2
70,2,1,1,3
50,1,0,1,1
30,4,1,1,2
50,2,0,0,2
50,2,1,1,2
90,2,1,1,1
90,1,1,1,2
70,3,0,1,2
90,2,1,1,3
90,1,0,1,2
50,4,1,0,3
90,5,1,1,4
70,1,1,1,1
90,5,1,1,3
90,2,0,1,3
50,2,1,1,2
50,1,1,1,2
50,5,1,1,3
50,2,1,0,2
90,4,1,1,3
90,3,1,1,3
30,3,1,1,1
70,2,1,1,1
50,5,1,1,2
50,2,1,0,2
50,5,0,0,3
50,4,1,0,3
90,5,0,1,4
50,2,0,1,2
70,4,1,1,4
70,1,1,0,3
50,3,0,1,1
110,2,1,1,3
110,2,1,1,3
50,2,1,1,1
50,4,1,1,2
50,1,1,1,2
50,5,1,1,3
30,1,0,1,1
70,4,0,0,3
70,2,0,1,2
30,3,1,1,2
50,2,1,0,2
90,5,1,1,4
50,3,1,1,1
50,2,1,0,3
50,3,0,1,2
110,1,1,1,2
50,4,1,1,3
70,2,0,0,2
70,5,0,1,3
50,1,1,0,2
70,2,1,1,2
50,1,1,0,1
70,5,1,1,3
70,2,1,0,2
70,5,0,0,3
30,3,1,0,2
90,5,1,1,3
50,3,1,1,2
50,2,1,0,2
30,3,1,1,2
